Date,Description,"Check Number",Amount
12/31/2012,"MERCHANT PAYMENT FLOYD CENTRAL T AT LOC 632001 1042 N LUTHER RD GEORGETOWN IN",,-2.72
12/28/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO0741, FLOYDS KNOBS, IN ON 122712 FROM CARD#: XXXXXXXXXXXX5886",,-16.21
12/27/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08104 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-26.68
12/27/2012,"DEBIT CARD PURCHASE AT DAIRY QUEEN #12815, FLOYDS KNOB, IN ON 122612 FROM CARD#: XXXXXXXXXXXX5886",,-7.90
12/26/2012,"RECURRING PURCHASE AT WILDBLUE COMMUNICA, 08882786858, CO ON 122412 FROM CARD#: XXXXXXXXXXXX5886",,-60.68
12/26/2012,"MERCHANT PAYMENT JACOBI FOODMART AT LOC 955101 6566 HWY 150 FLOYDS KNOBS IN",,-53.69
12/26/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971022 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-25.39
12/26/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971042 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-24.32
12/26/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971021 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-15.22
12/24/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 141222 4206 CHARLESTON RD NEW ALBANY IN",,-337.88
12/24/2012,"ELECTRONIC IMAGE",1108,-150.00
12/24/2012,"ELECTRONIC IMAGE",9002,-115.00
12/24/2012,"MERCHANT PAYMENT BEDBATH&BEYOND# AT LOC 600001 BEDBATH&BEYOND#1060 CLARKSVILLE IN",,-69.83
12/24/2012,"MERCHANT PAYMENT KOHL'S #0512 AT LOC 001 3899 CHARLESTOWN RD NEW ALBANY IN",,-59.87
12/24/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 491223 4206 CHARLESTON RD NEW ALBANY IN",,-33.40
12/24/2012,"DEBIT CARD PURCHASE AT QDOBA MEXICAN GRIL, NEW ALBANY, IN ON 122312 FROM CARD#: XXXXXXXXXXXX5886",,-30.54
12/24/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08103 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-24.93
12/21/2012,"JCPS PAYROLL DD JCPS XXXXX8692 122112",,1359.05
12/21/2012,"FOREIGN CASH WITHDRAWAL FEE",,-2.00
12/21/2012,"FOREIGN CASH WITHDRAWAL FEE",,-2.00
12/21/2012,"CIRRUS WITHDRAWAL AT LOC IN6736 800 HIGHLANDER POINT FLOYDS KNOBS IN",,-283.00
12/21/2012,"CIRRUS WITHDRAWAL AT LOC IN6736 800 HIGHLANDER POINT FLOYDS KNOBS IN",,-283.00
12/21/2012,"DEBIT CARD PURCHASE AT NEW ALBANIAN BREWI, NEW ALBANY, IN ON 121912 FROM CARD#: XXXXXXXXXXXX1547",,-16.05
12/21/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481221 4206 CHARLESTON RD NEW ALBANY IN",,-10.00
12/20/2012,"MERCHANT PAYMENT BEST BUY #1010 AT LOC 003 1025 VETARANS PKWY CLARKSVILLE IN",,-69.90
12/20/2012,"MERCHANT PAYMENT MEIJER, INC. AT LOC 521219 4206 CHARLESTON RD NEW ALBANY IN",,-28.38
12/20/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481219 4206 CHARLESTON RD NEW ALBANY IN",,-16.78
12/20/2012,"DEBIT CARD PURCHASE AT PANERA BREAD #6012, LOUISVILLE, KY ON 121912 FROM CARD#: XXXXXXXXXXXX1547",,-6.44
12/19/2012,"ICIM CORPORATION DIRECT DEP 5380403361942RE 121912",,1210.52
12/19/2012,"MERCHANT PAYMENT RAINBOW BLOSSOM AT LOC 340001 3003 CHARLESTOWN CROSSI NEW ALBANY IN",,-273.76
12/19/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390078 TARGET T0139 NEW ALBANY New Albany IN",,-86.23
12/19/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 171219 4206 CHARLESTON RD NEW ALBANY IN",,-84.26
12/19/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390077 TARGET T0139 NEW ALBANY New Albany IN",,-78.04
12/19/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121812 FROM CARD#: XXXXXXXXXXXX5886",,-47.00
12/19/2012,"ELECTRONIC IMAGE",9005,-34.16
12/18/2012,"ELECTRONIC IMAGE",9003,-264.18
12/18/2012,"MERCHANT PAYMENT TOYS R US AT LOC 078177 951 STATE HWY 31 CLARKSVILLE IN",,-107.96
12/18/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-56.49
12/18/2012,"ELECTRONIC IMAGE",9004,-43.58
12/18/2012,"ELECTRONIC IMAGE",9000,-25.80
12/17/2012,"USAA FSB LOAN PMT XXXXXXXXXX5216 121712",,-362.91
12/17/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 141215 4206 CHARLESTON RD NEW ALBANY IN",,-219.47
12/17/2012,"Farm Bureau INS.PREM 8419089921 121712",,-92.50
12/17/2012,"5/3 ONLINE PYMT TO DISH NETWO- ACCT XXXXXX8416",,-21.39
12/17/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO1457, GEORGETOWN, IN ON 121412 FROM CARD#: XXXXXXXXXXXX5886",,-20.51
12/14/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481214 4206 CHARLESTON RD NEW ALBANY IN",,-89.08
12/14/2012,"ELECTRONIC IMAGE",1057,-215.84
12/13/2012,"DEPOSIT",,1138.80
12/13/2012,"5/3 ONLINE TRANSFER TO SV: XXXXXX7764 REF # 00299763846",,-600.00
12/13/2012,"5/3 ONLINE PYMT TO VERIZON WI- ACCT XXXXXX8416",,-165.67
12/13/2012,"DEBIT CARD PURCHASE AT Amazon.com, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-142.50
12/13/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390076 TARGET T0139 NEW ALBANY New Albany IN",,-100.00
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-81.81
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-27.95
12/13/2012,"DEBIT CARD PURCHASE AT Amazon.com, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-22.05
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-21.83
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-21.13
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-10.94
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-8.75
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-6.59
12/12/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-151.49
12/12/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971022 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-95.38
12/12/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-35.47
12/12/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-3.04
12/12/2012,"ELECTRONIC IMAGE",1107,-70.00
12/11/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-3.04
12/10/2012,"DEPOSIT",,310.00
12/10/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 221208 4206 CHARLESTON RD NEW ALBANY IN",,-280.11
12/10/2012,"MERCHANT PAYMENT GEORGETOWN EXPRE AT LOC 01E906 8000 STATE ROAD 64 GEORGETOWN IN",,-58.83
12/10/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390079 TARGET T0139 NEW ALBANY New Albany IN",,-51.32
12/10/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO0740, FLOYDS KNOBS, IN ON 120812 FROM CARD#: XXXXXXXXXXXX1547",,-30.30
12/10/2012,"MERCHANT PAYMENT AT LOC 004820 3401 GRANT LINE RD NEW ALBANY IN",,-9.50
12/10/2012,"MERCHANT PAYMENT LAGRANGE AT LOC 918701 7401 NEW LAGRANGE RD LOUISVILLE KY",,-3.87
12/10/2012,"ELECTRONIC IMAGE",1106,-266.00
12/07/2012,"JCPS PAYROLL DD JCPS XXXXX8692 120712",,1359.07
12/07/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08102 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-7.99
12/07/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971042 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-3.38
12/06/2012,"MERCHANT PAYMENT JACOBI FOODMART AT LOC 955101 6566 HWY 150 FLOYDS KNOBS IN",,-16.75
12/06/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-0.99
12/05/2012,"ICIM CORPORATION DIRECT DEP 6050388940992RE 120512",,1210.54
12/05/2012,"5/3 MORTGAGE LN #0415907559 PAID BY AUTO BILLPAYER",,-967.15
12/05/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-3.04
12/04/2012,"ELECTRONIC IMAGE",1105,-5.25
12/03/2012,"DEBIT CARD PURCHASE AT FIRST UROLOGY, JEFFERSONVILL, IN ON 113012 FROM CARD#: XXXXXXXXXXXX5886",,-462.33
12/03/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 151201 4206 CHARLESTON RD NEW ALBANY IN",,-209.86
12/03/2012,"MERCHANT PAYMENT USPS 1759840750 AT LOC 508997 145 E ELM ST NEW ALBANY IN",,-30.82
12/03/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481201 4206 CHARLESTON RD NEW ALBANY IN",,-19.62
12/03/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971071 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-11.92
11/30/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO1457, GEORGETOWN, IN ON 112912 FROM CARD#: XXXXXXXXXXXX1547",,-30.37
11/28/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08165 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-8.00
11/26/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 121125 4206 CHARLESTON RD NEW ALBANY IN",,-156.25
11/26/2012,"RECURRING PURCHASE AT WILDBLUE COMMUNICA, 08882786858, CO ON 112412 FROM CARD#: XXXXXXXXXXXX5886",,-60.68
11/26/2012,"MERCHANT PAYMENT MEIJER, INC. AT LOC 511125 4206 CHARLESTON RD NEW ALBANY IN",,-48.38
11/26/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08165 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-10.00
11/26/2012,"DEBIT CARD PURCHASE AT COFFEE CROSSING, NEW ALBANY, IN ON 112312 FROM CARD#: XXXXXXXXXXXX1547",,-3.16
11/26/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 591124 4206 CHARLESTON RD NEW ALBANY IN",,-2.60
11/23/2012,"JCPS PAYROLL DD JCPS XXXXX8692 112312",,1384.06
11/23/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 591123 4206 CHARLESTON RD NEW ALBANY IN",,-22.21
11/21/2012,"ICIM CORPORATION DIRECT DEP 6590257164122RE 112112",,1210.53
11/21/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390078 TARGET T0139 NEW ALBANY New Albany IN",,-30.00
11/20/2012,"DEBIT CARD PURCHASE AT OLD TIME POTTERY 0, CLARKSVILLE, IN ON 111712 FROM CARD#: XXXXXXXXXXXX5886",,-158.24
11/20/2012,"WEB INITIATED PAYMENT AT USAA.COM PAYMNT CREDIT CRD XXXXXXXXXXXXXXX2012",,-36.00
11/19/2012,"DEPOSIT",,1000.00
11/19/2012,"DEPOSIT",,79.39
11/19/2012,"FOREIGN CASH WITHDRAWAL FEE",,-2.00
11/19/2012,"CIRRUS WITHDRAWAL AT LOC IN6736 800 HIGHLANDER POINT FLOYDS KNOBS IN",,-403.00
11/19/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08103 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-143.19
11/19/2012,"CHECK #1055 CONVERTED TO ELECTRONIC TRANSACTION BY VZ WIRELESS ARC ARC 111912",1055,-142.65
11/19/2012,"CHECK #1054 CONVERTED TO ELECTRONIC TRANSACTION BY ADT SECURITY SER CHECKPYMNT 111912",1054,-44.99
11/19/2012,"MERCHANT PAYMENT BIG LOTS #00137 AT LOC 013702 440 NEW ALBANY PLAZA NEW ALBANY IN",,-1.18
11/15/2012,"USAA FSB LOAN PMT XXXXXXXXXX5216 111512",,-362.91
11/15/2012,"Farm Bureau INS.PREM 8419089921 111512",,-92.50
11/15/2012,"ELECTRONIC IMAGE",1056,-192.48
11/14/2012,"ELECTRONIC IMAGE",1104,-400.00
11/14/2012,"ELECTRONIC IMAGE",1100,-5.00
11/13/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 171110 4206 CHARLESTON RD NEW ALBANY IN",,-155.74
11/13/2012,"DEBIT CARD PURCHASE AT THORNTONS #0156, NEW ALBANY, IN ON 110912 FROM CARD#: XXXXXXXXXXXX5886",,-28.45
11/13/2012,"DEBIT CARD PURCHASE AT DISH NETWORK-ONE T, 800-894-9131, CO ON 111112 FROM CARD#: XXXXXXXXXXXX5886",,-21.39
11/13/2012,"MERCHANT PAYMENT RAINBOW BLOSSOM AT LOC 340001 3003 CHARLESTOWN CROSSI NEW ALBANY IN",,-20.85
11/13/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971021 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-17.29
11/13/2012,"ELECTRONIC IMAGE",1053,-400.00
11/09/2012,"JCPS PAYROLL DD JCPS XXXXX8692 110912",,1384.05
11/09/2012,"ELECTRONIC IMAGE",1101,-92.00
11/08/2012,"MERCHANT PAYMENT GEORGETOWN EXPRE AT LOC 01E906 8000 STATE ROAD 64 GEORGETOWN IN",,-51.77
11/08/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390073 TARGET T0139 NEW ALBANY New Albany IN",,-23.84
11/07/2012,"ICIM CORPORATION DIRECT DEP 4225253663872RE 110712",,1210.53
11/07/2012,"MERCHANT PAYMENT WALGREENS AT LOC 444742 1702 E SPRING ST NEW ALBANY IN",,-18.59
11/07/2012,"ELECTRONIC IMAGE",1051,-115.00
11/07/2012,"OVERDRAFT FEE",,-37.00
11/06/2012,"CHECK #1050 CONVERTED TO ELECTRONIC TRANSACTION BY VZ WIRELESS ARC ARC 110612",1050,-142.65
11/06/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-3.08
11/06/2012,"ELECTRONIC IMAGE",1049,-400.00
11/05/2012,"5/3 MORTGAGE LN #0415907559 PAID BY AUTO BILLPAYER",,-967.15
11/05/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 141103 4206 CHARLESTON RD NEW ALBANY IN",,-258.97
11/05/2012,"MERCHANT PAYMENT SOU THE HOME DEP AT LOC 009 2241-C STATE STREET NEW ALBANY IN",,-23.18
11/05/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO0740, FLOYDS KNOBS, IN ON 110412 FROM CARD#: XXXXXXXXXXXX5886",,-15.13
11/05/2012,"MERCHANT PAYMENT SAV A STEP 53 AT LOC 00N488 3693 PAOLI PIKE FLOYDS KNOBS IN",,-5.34
11/05/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-0.99
11/02/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481102 4206 CHARLESTON RD NEW ALBANY IN",,-20.00
11/01/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO0741, FLOYDS KNOBS, IN ON 103112 FROM CARD#: XXXXXXXXXXXX1547",,-59.52
11/01/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 491101 4206 CHARLESTON RD NEW ALBANY IN",,-6.50
11/01/2012,"ELECTRONIC IMAGE",1052,-44.94
10/31/2012,"DEPOSIT",,109.68
10/31/2012,"MERCHANT PAYMENT GEORGETOWN EXPRE AT LOC 01E906 8000 STATE ROAD 64 GEORGETOWN IN",,-30.60
10/31/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481031 4206 CHARLESTON RD NEW ALBANY IN",,-30.00
10/31/2012,"MERCHANT PAYMENT Wal-Mart Super AT LOC 910018 2691 WAL-SAMS NEW ALBANY IN",,-10.10
10/31/2012,"ELECTRONIC IMAGE",1098,-266.00
10/30/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08101 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-60.28
10/30/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08165 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-17.81
10/29/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 121027 4206 CHARLESTON RD NEW ALBANY IN",,-161.30
10/29/2012,"MERCHANT PAYMENT SOU THE HOME DEP AT LOC 003 2241-C STATE STREET NEW ALBANY IN",,-150.89
10/29/2012,"DEBIT CARD PURCHASE AT CHICK-FIL-A #02435, NEW ALBANY, IN ON 102512 FROM CARD#: XXXXXXXXXXXX1547",,-20.74
10/29/2012,"MERCHANT PAYMENT SOU THE HOME DEP AT LOC 057 2241-C STATE STREET NEW ALBANY IN",,-8.60
10/26/2012,"JCPS PAYROLL DD JCPS XXXXX8692 102612",,1384.05
10/26/2012,"DEBIT CARD PURCHASE AT SCHOLASTIC BOOK FA, LAKE MARY, FL ON 102412 FROM CARD#: XXXXXXXXXXXX5886",,-52.92
10/26/2012,"DEBIT CARD PURCHASE AT JOSEPH A FLECK DDS, CLARKSVILLE, IN ON 102412 FROM CARD#: XXXXXXXXXXXX1547",,-37.00
10/26/2012,"MERCHANT PAYMENT JACOBI FOOD MART AT LOC 106401 6494 STATE RD 64 GEORGETOWN IN",,-34.44
10/25/2012,"MERCHANT PAYMENT AT LOC 160001 #44 GW NEW ALBANY STORE NEW ALBANY IN",,-90.73
10/25/2012,"RECURRING PURCHASE AT WILDBLUE COMMUNICA, 08882786858, CO ON 102412 FROM CARD#: XXXXXXXXXXXX5886",,-60.68
10/24/2012,"ICIM CORPORATION DIRECT DEP 5340408871872RE 102412",,1210.53
10/24/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 071024 4206 CHARLESTON RD NEW ALBANY IN",,-45.02
10/24/2012,"MERCHANT PAYMENT AT LOC 160001 #44 GW NEW ALBANY STORE NEW ALBANY IN",,-34.90
10/24/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO1457, GEORGETOWN, IN ON 102312 FROM CARD#: XXXXXXXXXXXX1547",,-32.36
10/24/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481024 4206 CHARLESTON RD NEW ALBANY IN",,-22.22
10/24/2012,"MERCHANT PAYMENT SOU THE HOME DEP AT LOC 058 2241-C STATE STREET NEW ALBANY IN",,-15.81
10/24/2012,"ELECTRONIC IMAGE",,-393.79
10/23/2012,"FOREIGN CASH WITHDRAWAL FEE",,-2.00
10/23/2012,"CIRRUS WITHDRAWAL AT LOC 052 1038 W KNABLE RD GEORGETOWN IN",,-23.00
10/22/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 141020 4206 CHARLESTON RD NEW ALBANY IN",,-242.51
10/22/2012,"DEBIT CARD PURCHASE AT GREAT HARVEST BREA, NEW ALBANY, IN ON 102012 FROM CARD#: XXXXXXXXXXXX1547",,-10.59
10/22/2012,"DEBIT CARD PURCHASE AT MCDONALD'S M7434 O, NEW ALBANY, IN ON 101812 FROM CARD#: XXXXXXXXXXXX5886",,-10.57
10/22/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-2.69
10/19/2012,"DEBIT CARD PURCHASE AT FARM BUREAU INS, INDIANAPOLIS, IN ON 101812 FROM CARD#: XXXXXXXXXXXX5886",,-92.50
10/19/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO0582, FLOYDS KNOBS, IN ON 101712 FROM CARD#: XXXXXXXXXXXX5886",,-62.17
10/18/2012,"MERCHANT PAYMENT SAVE-A-LOT #2390 AT LOC 502301 624 STATE STREET NEW ALBANY IN",,-22.12
10/16/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-1.99
10/16/2012,"ELECTRONIC IMAGE",1048,-400.00
10/15/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 141013 4206 CHARLESTON RD NEW ALBANY IN",,-309.64
10/15/2012,"DEBIT CARD PURCHASE AT MTD*PARTS&POWER EQ, 800-269-6215, OH ON 101212 FROM CARD#: XXXXXXXXXXXX5886",,-62.02
10/15/2012,"MERCHANT PAYMENT SOU THE HOME DEP AT LOC 008 2241-C STATE STREET NEW ALBANY IN",,-30.63
10/15/2012,"MERCHANT PAYMENT MEIJER, INC. AT LOC 591014 4206 CHARLESTON RD NEW ALBANY IN",,-16.39
10/15/2012,"MERCHANT PAYMENT SOU THE HOME DEP AT LOC 009 2241-C STATE STREET NEW ALBANY IN",,-5.53
10/15/2012,"ELECTRONIC IMAGE",1047,-23.15
10/15/2012,"ELECTRONIC IMAGE",1046,-215.84
10/12/2012,"JCPS PAYROLL DD JCPS XXXXX8692 101212",,1384.05
10/11/2012,"WEB INITIATED PAYMENT AT USAA.COM PAYMNT LOAN XXXXX1532 101112",,-362.91
10/11/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO1457, GEORGETOWN, IN ON 101012 FROM CARD#: XXXXXXXXXXXX1547",,-32.96
10/10/2012,"ICIM CORPORATION DIRECT DEP 5160402189012RE 101012",,1210.53
10/10/2012,"DEPOSIT",,206.01
10/10/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481010 4206 CHARLESTON RD NEW ALBANY IN",,-42.64
10/10/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 151010 4206 CHARLESTON RD NEW ALBANY IN",,-17.56
10/10/2012,"OVERDRAFT FEE",,-25.00
10/09/2012,"DEBIT CARD RETURN AT MY SCRATCH AND DEN, NEW ALBANY, IN ON 100812 TO CARD#: XXXXXXXXXXXX5886",,294.25
10/09/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 191006 4206 CHARLESTON RD NEW ALBANY IN",,-375.58
10/09/2012,"DEBIT CARD PURCHASE AT MY SCRATCH AND DEN, NEW ALBANY, IN ON 100512 FROM CARD#: XXXXXXXXXXXX5886",,-294.25
