Date,Description,"Check Number",Amount
12/31/2012,"MERCHANT PAYMENT FLOYD CENTRAL T AT LOC 632001 1042 N LUTHER RD GEORGETOWN IN",,-2.72
12/28/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO0741, FLOYDS KNOBS, IN ON 122712 FROM CARD#: XXXXXXXXXXXX5886",,-16.21
12/27/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08104 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-26.68
12/27/2012,"DEBIT CARD PURCHASE AT DAIRY QUEEN #12815, FLOYDS KNOB, IN ON 122612 FROM CARD#: XXXXXXXXXXXX5886",,-7.90
12/26/2012,"RECURRING PURCHASE AT WILDBLUE COMMUNICA, 08882786858, CO ON 122412 FROM CARD#: XXXXXXXXXXXX5886",,-60.68
12/26/2012,"MERCHANT PAYMENT JACOBI FOODMART AT LOC 955101 6566 HWY 150 FLOYDS KNOBS IN",,-53.69
12/26/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971022 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-25.39
12/26/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971042 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-24.32
12/26/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971021 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-15.22
12/24/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 141222 4206 CHARLESTON RD NEW ALBANY IN",,-337.88
12/24/2012,"ELECTRONIC IMAGE",1108,-150.00
12/24/2012,"ELECTRONIC IMAGE",9002,-115.00
12/24/2012,"MERCHANT PAYMENT BEDBATH&BEYOND# AT LOC 600001 BEDBATH&BEYOND#1060 CLARKSVILLE IN",,-69.83
12/24/2012,"MERCHANT PAYMENT KOHL'S #0512 AT LOC 001 3899 CHARLESTOWN RD NEW ALBANY IN",,-59.87
12/24/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 491223 4206 CHARLESTON RD NEW ALBANY IN",,-33.40
12/24/2012,"DEBIT CARD PURCHASE AT QDOBA MEXICAN GRIL, NEW ALBANY, IN ON 122312 FROM CARD#: XXXXXXXXXXXX5886",,-30.54
12/24/2012,"MERCHANT PAYMENT JAY C FOODS AT LOC C08103 815 HIGHLANDER PT D R FLOYD KNOBS IN",,-24.93
12/21/2012,"JCPS PAYROLL DD JCPS XXXXX8692 122112",,1359.05
12/21/2012,"FOREIGN CASH WITHDRAWAL FEE",,-2.00
12/21/2012,"FOREIGN CASH WITHDRAWAL FEE",,-2.00
12/21/2012,"CIRRUS WITHDRAWAL AT LOC IN6736 800 HIGHLANDER POINT FLOYDS KNOBS IN",,-283.00
12/21/2012,"CIRRUS WITHDRAWAL AT LOC IN6736 800 HIGHLANDER POINT FLOYDS KNOBS IN",,-283.00
12/21/2012,"DEBIT CARD PURCHASE AT NEW ALBANIAN BREWI, NEW ALBANY, IN ON 121912 FROM CARD#: XXXXXXXXXXXX1547",,-16.05
12/21/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481221 4206 CHARLESTON RD NEW ALBANY IN",,-10.00
12/20/2012,"MERCHANT PAYMENT BEST BUY #1010 AT LOC 003 1025 VETARANS PKWY CLARKSVILLE IN",,-69.90
12/20/2012,"MERCHANT PAYMENT MEIJER, INC. AT LOC 521219 4206 CHARLESTON RD NEW ALBANY IN",,-28.38
12/20/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481219 4206 CHARLESTON RD NEW ALBANY IN",,-16.78
12/20/2012,"DEBIT CARD PURCHASE AT PANERA BREAD #6012, LOUISVILLE, KY ON 121912 FROM CARD#: XXXXXXXXXXXX1547",,-6.44
12/19/2012,"ICIM CORPORATION DIRECT DEP 5380403361942RE 121912",,1210.52
12/19/2012,"MERCHANT PAYMENT RAINBOW BLOSSOM AT LOC 340001 3003 CHARLESTOWN CROSSI NEW ALBANY IN",,-273.76
12/19/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390078 TARGET T0139 NEW ALBANY New Albany IN",,-86.23
12/19/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 171219 4206 CHARLESTON RD NEW ALBANY IN",,-84.26
12/19/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390077 TARGET T0139 NEW ALBANY New Albany IN",,-78.04
12/19/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121812 FROM CARD#: XXXXXXXXXXXX5886",,-47.00
12/19/2012,"ELECTRONIC IMAGE",9005,-34.16
12/18/2012,"ELECTRONIC IMAGE",9003,-264.18
12/18/2012,"MERCHANT PAYMENT TOYS R US AT LOC 078177 951 STATE HWY 31 CLARKSVILLE IN",,-107.96
12/18/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-56.49
12/18/2012,"ELECTRONIC IMAGE",9004,-43.58
12/18/2012,"ELECTRONIC IMAGE",9000,-25.80
12/17/2012,"USAA FSB LOAN PMT XXXXXXXXXX5216 121712",,-362.91
12/17/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 141215 4206 CHARLESTON RD NEW ALBANY IN",,-219.47
12/17/2012,"Farm Bureau INS.PREM 8419089921 121712",,-92.50
12/17/2012,"5/3 ONLINE PYMT TO DISH NETWO- ACCT XXXXXX8416",,-21.39
12/17/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO1457, GEORGETOWN, IN ON 121412 FROM CARD#: XXXXXXXXXXXX5886",,-20.51
12/14/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 481214 4206 CHARLESTON RD NEW ALBANY IN",,-89.08
12/14/2012,"ELECTRONIC IMAGE",1057,-215.84
12/13/2012,"DEPOSIT",,1138.80
12/13/2012,"5/3 ONLINE TRANSFER TO SV: XXXXXX7764 REF # 00299763846",,-600.00
12/13/2012,"5/3 ONLINE PYMT TO VERIZON WI- ACCT XXXXXX8416",,-165.67
12/13/2012,"DEBIT CARD PURCHASE AT Amazon.com, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-142.50
12/13/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390076 TARGET T0139 NEW ALBANY New Albany IN",,-100.00
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-81.81
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-27.95
12/13/2012,"DEBIT CARD PURCHASE AT Amazon.com, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-22.05
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-21.83
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-21.13
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-10.94
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-8.75
12/13/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-6.59
12/12/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-151.49
12/12/2012,"MERCHANT PAYMENT WALGREENS AT LOC 971022 200 LAFOLLETTE STA S FLOYDS KNOBS IN",,-95.38
12/12/2012,"DEBIT CARD PURCHASE AT AMAZON MKTPLACE PM, AMZN.COM/BILL, WA ON 121212 FROM CARD#: XXXXXXXXXXXX5886",,-35.47
12/12/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-3.04
12/12/2012,"ELECTRONIC IMAGE",1107,-70.00
12/11/2012,"MERCHANT PAYMENT SHELL Service St AT LOC 984301 SHELL NEW ALBANY IN",,-3.04
12/10/2012,"DEPOSIT",,310.00
12/10/2012,"MERCHANT PAYMENT MEIJER INC 220 AT LOC 221208 4206 CHARLESTON RD NEW ALBANY IN",,-280.11
12/10/2012,"MERCHANT PAYMENT GEORGETOWN EXPRE AT LOC 01E906 8000 STATE ROAD 64 GEORGETOWN IN",,-58.83
12/10/2012,"MERCHANT PAYMENT TARGET T0139 AT LOC 390079 TARGET T0139 NEW ALBANY New Albany IN",,-51.32
12/10/2012,"DEBIT CARD PURCHASE AT MARATHON PETRO0740, FLOYDS KNOBS, IN ON 120812 FROM CARD#: XXXXXXXXXXXX1547",,-30.30
12/10/2012,"MERCHANT PAYMENT AT LOC 004820 3401 GRANT LINE RD NEW ALBANY IN",,-9.50
12/10/2012,"MERCHANT PAYMENT LAGRANGE AT LOC 918701 7401 NEW LAGRANGE RD LOUISVILLE KY",,-3.87
12/10/2012,"ELECTRONIC IMAGE",1106,-266.00

